Mesh #,Combination #,KSP Type,PC Mass,PC Interface,Converged,Krylov Iters,Construction Time (s),Solve Time (s),Total Time (s),Tic Toc Time (s),Solver Label,Adjusted Time (s)
47,16,tfqmr,sor,ilu,True,54.0,0.0016787052154541016,0.0009784698486328125,0.002657175064086914,0.1413135528564453,tfqmr + sor + ilu,0.002657175064086914
47,17,tfqmr,jacobi,ilu,True,121.0,0.003015279769897461,0.003545999526977539,0.006561279296875,0.15083575248718262,tfqmr + jacobi + ilu,0.006561279296875
47,18,tfqmr,bjacobi,ilu,True,36.0,0.0017573833465576172,0.0007646083831787109,0.002521991729736328,0.13068795204162598,tfqmr + bjacobi + ilu,0.002521991729736328
47,19,tfqmr,asm,ilu,True,36.0,0.0020351409912109375,0.0008780956268310547,0.002913236618041992,0.1399695873260498,tfqmr + asm + ilu,0.002913236618041992
47,20,tfqmr,gamg,ilu,True,18.0,0.003356456756591797,0.0010833740234375,0.004439830780029297,0.11204338073730469,tfqmr + gamg + ilu,0.004439830780029297
48,0,gmres,ilu,ilu,True,33.0,0.007992029190063477,0.007054805755615234,0.015046834945678711,0.1793992519378662,gmres + ilu + ilu,0.015046834945678711
48,1,gmres,lu,ilu,True,7.0,0.004922389984130859,0.0007224082946777344,0.005644798278808594,0.19357037544250488,gmres + lu + ilu,0.005644798278808594
48,2,gmres,sor,ilu,True,64.0,0.002063751220703125,0.0043413639068603516,0.0064051151275634766,0.1398019790649414,gmres + sor + ilu,0.0064051151275634766
48,3,gmres,jacobi,ilu,False,,,,,,gmres + jacobi + ilu,1.784660816192627
48,4,gmres,bjacobi,ilu,True,33.0,0.0029997825622558594,0.002955913543701172,0.005955696105957031,0.15597748756408691,gmres + bjacobi + ilu,0.005955696105957031
48,5,gmres,asm,ilu,True,33.0,0.006372928619384766,0.005999565124511719,0.012372493743896484,0.20074129104614258,gmres + asm + ilu,0.012372493743896484
48,6,gmres,gamg,ilu,True,19.0,0.00507807731628418,0.002283811569213867,0.007361888885498047,0.19018244743347168,gmres + gamg + ilu,0.007361888885498047
48,7,bcgs,ilu,ilu,True,21.0,0.0047571659088134766,0.004823446273803711,0.009580612182617188,0.1846306324005127,bcgs + ilu + ilu,0.009580612182617188
48,8,bcgs,lu,ilu,True,4.0,0.004411935806274414,0.0005643367767333984,0.0049762725830078125,0.15873050689697266,bcgs + lu + ilu,0.0049762725830078125
48,9,bcgs,sor,ilu,True,37.0,0.0021736621856689453,0.0022644996643066406,0.004438161849975586,0.12926506996154785,bcgs + sor + ilu,0.004438161849975586
48,10,bcgs,jacobi,ilu,True,94.0,0.0020821094512939453,0.003362417221069336,0.005444526672363281,0.12622833251953125,bcgs + jacobi + ilu,0.005444526672363281
48,11,bcgs,bjacobi,ilu,True,21.0,0.002229452133178711,0.0014710426330566406,0.0037004947662353516,0.16109347343444824,bcgs + bjacobi + ilu,0.0037004947662353516
48,12,bcgs,asm,ilu,True,21.0,0.0024597644805908203,0.0015149116516113281,0.0039746761322021484,0.16329574584960938,bcgs + asm + ilu,0.0039746761322021484
48,13,bcgs,gamg,ilu,True,13.0,0.004882097244262695,0.002535104751586914,0.007417201995849609,0.14763975143432617,bcgs + gamg + ilu,0.007417201995849609
48,14,tfqmr,ilu,ilu,True,45.0,0.0025603771209716797,0.0015444755554199219,0.0041048526763916016,0.1713271141052246,tfqmr + ilu + ilu,0.0041048526763916016
48,15,tfqmr,lu,ilu,True,7.0,0.004464149475097656,0.0006394386291503906,0.005103588104248047,0.13601183891296387,tfqmr + lu + ilu,0.005103588104248047
48,16,tfqmr,sor,ilu,True,83.0,0.0053462982177734375,0.004708528518676758,0.010054826736450195,0.17679238319396973,tfqmr + sor + ilu,0.010054826736450195
48,17,tfqmr,jacobi,ilu,True,198.0,0.0027849674224853516,0.004958629608154297,0.0077435970306396484,0.1381514072418213,tfqmr + jacobi + ilu,0.0077435970306396484
48,18,tfqmr,bjacobi,ilu,True,45.0,0.002425670623779297,0.0015861988067626953,0.004011869430541992,0.13007164001464844,tfqmr + bjacobi + ilu,0.004011869430541992
48,19,tfqmr,asm,ilu,True,45.0,0.0025055408477783203,0.0016894340515136719,0.004194974899291992,0.1547379493713379,tfqmr + asm + ilu,0.004194974899291992
